fault_rate,successes,trials,mean_organs_repaired,mean_active_cell_ratio,mean_repair_seconds
0.01,5,5,56.8,0.9318130876901104,0.10284664160003558
0.05,5,5,228.2,0.7567827782776329,0.15762236539999322
0.1,5,5,354.8,0.6699957918178862,0.1873644102000526
0.2,5,5,489.2,0.6303178279538174,0.22629189399999633
0.3,5,5,563.6,0.6252326985388351,0.24154452739999216
